Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
A145A280,SPC,45,None,Pigment,26.26,120,160,40,3400,125.0,10.0,40.0,3,3,80.0,1.0
A145A281,SPC,45,None,Pigment,5.56,65,80,15,3400,125.0,8.0,40.0,3,1,130.0,1.0
A132B147,CV,32,None,Reactive,0.75,55,120,65,24000,165.0,15.0,30.0,3,0,58.0,1.0
A132B147,CV,32,None,Reactive,18.93,815,840,25,24000,155.0,20.0,30.0,3,2,58.0,1.0
A132B147,CV,32,None,Reactive,3.33,130,160,30,24000,155.0,15.0,30.0,3,3,70.0,1.0
A132B147,CV,32,None,Reactive,5.63,316,340,24,24000,165.0,15.0,30.0,3,0,69.0,1.0
A132B147,CV,32,None,Reactive,2.75,140,160,20,24000,155.0,15.0,30.0,3,0,64.0,1.0
A132B147,CV,32,None,Reactive,4.16,217,240,23,24000,155.0,12.0,30.0,3,0,65.0,1.0
A132B147,CV,32,None,Reactive,3.24,145,160,15,24000,155.0,12.0,30.0,3,0,71.0,1.0
A132B147,CV,32,None,Reactive,6.05,222,240,18,24000,155.0,12.0,30.0,3,1,73.0,1.0
A132B147,CV,32,None,Reactive,9.85,335,360,25,24000,155.0,12.0,30.0,3,1,65.0,1.0
A132B147,CV,32,None,Reactive,20.37,650,720,70,24000,155.0,12.0,30.0,3,1,60.0,1.0
13200046,CV,32,None,Reactive,59.74,81,100,19,500,125.0,15.0,35.0,1,0,62.0,3.0
13200046,CV,32,None,Reactive,0.79,19,40,21,500,165.0,15.0,35.0,1,0,68.0,3.0
13200046,CV,32,None,Reactive,8.26,21,40,19,500,155.0,15.0,35.0,1,0,65.0,3.0
13200046,CV,32,None,Reactive,14.5,13,40,27,500,155.0,15.0,35.0,1,1,70.0,3.0
13200046,CV,32,None,Reactive,8.92,18,40,22,500,125.0,15.0,35.0,1,0,68.0,3.0
13200046,CV,32,None,Reactive,2.06,17,40,23,500,125.0,12.0,35.0,1,0,53.0,3.0
A120C093,CV,20,None,Reactive,82.57,800,900,100,6770,125.0,15.0,30.0,3,3,65.0,3.0
A120C093,CV,20,None,Reactive,1.79,52,60,8,6770,125.0,15.0,30.0,3,0,70.0,3.0
A120C093,CV,20,None,Reactive,6.0,84,100,16,6770,125.0,15.0,30.0,3,0,64.0,3.0
A120C093,CV,20,None,Reactive,2.65,45,66,21,6770,125.0,15.0,30.0,3,1,63.0,3.0
